GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,neu.edu.cs5010,SnickersCandy,0,15,0,0,0,7,0,4,0,4
Assignment for class CS5010,neu.edu.cs5010,DetachedHouseVistor,11,133,7,9,1,27,7,13,0,12
Assignment for class CS5010,neu.edu.cs5010,TwixCandy,0,15,0,0,0,7,0,4,0,4
Assignment for class CS5010,neu.edu.cs5010,TobleroneCandy,0,15,0,0,0,7,0,4,0,4
Assignment for class CS5010,neu.edu.cs5010,MarsCandy,0,15,0,0,0,7,0,4,0,4
Assignment for class CS5010,neu.edu.cs5010,BabyRuthCandy,0,15,0,0,0,7,0,4,0,4
Assignment for class CS5010,neu.edu.cs5010,TownhomeVisitor,0,99,7,9,0,30,7,14,0,13
Assignment for class CS5010,neu.edu.cs5010,HalloweenNeighborhoodTraversal,35,353,1,25,12,68,1,19,0,7
Assignment for class CS5010,neu.edu.cs5010,DuplexVisitor,0,176,10,10,0,32,10,12,0,12
Assignment for class CS5010,neu.edu.cs5010,Candy,3,0,0,0,1,0,1,0,1,0
Assignment for class CS5010,neu.edu.cs5010,IOLibrary,65,66,15,5,11,21,10,3,1,2
Assignment for class CS5010,neu.edu.cs5010,MilkyWayCandy,0,15,0,0,0,7,0,4,0,4
Assignment for class CS5010,neu.edu.cs5010,MansionVistor,0,160,4,14,0,30,4,17,0,12
Assignment for class CS5010,neu.edu.cs5010,CrunchCandy,0,15,0,0,0,7,0,4,0,4
Assignment for class CS5010,neu.edu.cs5010,KitKatCandy,0,15,0,0,0,7,0,4,0,4
Assignment for class CS5010,neu.edu.cs5010,WhoopersCandy,0,15,0,0,0,7,0,4,0,4
Assignment for class CS5010,neu.edu.cs5010,AlmondJoyCandy,0,15,0,0,0,7,0,4,0,4
